"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-12-24,79297999,0.844464624,51980809,1738089,25579101,65.551224061,2.191844715,1.016641013,98,4488,10.16641013,0.22283192
2020-12-23,78633963,0.889506014,51559652,1726473,25347838,65.569189232,2.195581825,1.008127731,99,4518,10.08127731,0.22134269
2020-12-22,77940676,0.837211998,51127257,1712857,25100562,65.597656607,2.19764196,0.999239436,100,4554,9.99239436,0.21959705
2020-12-21,77293565,0.705359714,50682537,1698389,24912639,65.571483215,2.197322636,0.990943141,101,4593,9.90943141,0.21774218
2020-12-20,76752186,0.70152127,50233137,1688987,24830062,65.448477259,2.200571851,0.984002385,102,4618,9.84002385,0.21653679
2020-12-19,76217504,0.81532667,49907513,1681296,24628695,65.480382302,2.20591847,0.97714749,102,4639,9.7714749,0.2155508
2020-12-18,75601108,0.95883042,49425340,1670624,24505144,65.376475699,2.20978772,0.969244974,103,4669,9.69244974,0.2141826
2020-12-17,74883106,0.992399329,49032708,1657975,24192423,65.478998694,2.214084175,0.960039821,104,4705,9.60039821,0.2125609
2020-12-16,74147269,1.000666738,48575565,1644717,23926987,65.512278004,2.2181761,0.950606013,105,4742,9.50606013,0.21086115
2020-12-15,73412653,0.86024594,48106799,1631150,23674704,65.529301877,2.221892185,0.941187859,106,4782,9.41187859,0.2091218
2020-12-14,72786510,0.72502245,47656620,1617177,23512713,65.4745227,2.22180868,0.93316038,107,4823,9.3316038,0.20733038
2020-12-13,72262590,0.764460541,47249332,1608207,23405051,65.38560547,2.22550423,0.92644346,108,4850,9.2644346,0.20618038
2020-12-12,71714362,0.876639369,46857134,1600818,23256410,65.338563564,2.23221396,0.919414897,109,4873,9.19414897,0.20523308
2020-12-11,71091149,0.992530708,45349837,1590587,24150725,63.791115544,2.237391043,0.911424987,110,4904,9.11424987,0.20392141
2020-12-10,70392482,2.167388985,44871081,1577679,23943722,63.744138188,2.241260651,0.902467718,111,4944,9.02467718,0.20226654
2020-12-09,68899169,0.983501764,44381525,1565028,22952616,64.415181843,2.271475872,0.883322679,113,4984,8.83322679,0.2006446
2020-12-08,68228144,0.944714658,43955249,1552539,22720356,64.423925997,2.275511115,0.87471979,114,5024,8.7471979,0.19904346
2020-12-07,67589615,0.767130115,43514138,1540255,22535222,64.379916944,2.278833812,0.866533526,115,5064,8.66533526,0.19746859
2020-12-06,67075062,0.809835508,43102378,1531754,22440930,64.259915257,2.283641572,0.859936692,116,5092,8.59936692,0.19637872
2020-12-05,66536228,0.974838797,42788506,1524547,22223175,64.308583889,2.291303619,0.853028564,117,5116,8.53028564,0.19545474
2020-12-04,65893869,1.043235839,42350319,1514338,22029212,64.27049989,2.29814704,0.844793192,118,5151,8.44793192,0.1941459
2020-12-03,65213538,1.0733278,41859543,1501928,21852067,64.188425109,2.303092343,0.836071,120,5193,8.36071,0.1925549
2020-12-02,64521016,1.014941506,41423445,1489437,21608134,64.20147662,2.308452489,0.82719251,121,5237,8.2719251,0.19095346
2020-12-01,63872745,0.96237493,40961709,1477022,21434014,64.13018417,2.312444846,0.81888135,122,5281,8.1888135,0.18936179
2020-11-30,63263909,0.804822437,40485868,1464172,21313869,63.995204596,2.314387497,0.811075756,123,5327,8.11075756,0.18771436
2020-11-29,62758812,0.78296485,40084504,1455500,21218808,63.870718267,2.319196227,0.80460015,124,5359,8.0460015,0.186603
2020-11-28,62271250,0.969637676,39758312,1448557,21064381,63.84697914,2.32620511,0.798349,125,5385,7.983494,0.18571244
2020-11-27,61673243,1.1001966,39402656,1438785,20831802,63.889385548,2.332916075,0.790682603,126,5421,7.90682603,0.1844596
2020-11-26,61002100,0.966662932,39025560,1428128,20548412,63.9741255,2.3411128,0.7820782,128,5462,7.820782,0.183093
2020-11-25,60418061,1.065073041,38659888,1417379,20340794,63.987303399,2.345952479,0.774590526,129,5503,7.74590526,0.18171526
2020-11-24,59781346,0.995944913,38222499,1405303,20153544,63.937166955,2.350738306,0.766427513,130,5550,7.66427513,0.18016705
2020-11-23,59191828,0.8838767,37850564,1392540,19948724,63.945590597,2.352588266,0.75886959,132,5601,7.5886959,0.1785308
2020-11-22,58673229,0.83876149,37440494,1384215,19848520,63.811885997,2.359193492,0.752220885,133,5635,7.52220885,0.1774635
2020-11-21,58185194,1.022130119,37167983,1377156,19640055,63.878764416,2.366849546,0.745964026,134,5664,7.45964026,0.1765585
2020-11-20,57596483,1.172540138,36828324,1368348,19399811,63.941966734,2.375749228,0.738416449,135,5700,7.38416449,0.1754292
2020-11-19,56928968,1.157746789,36472622,1356506,19099840,64.06689473,2.38280448,0.72985856,137,5750,7.2985856,0.17391103
2020-11-18,56277418,1.125931136,36099058,1345542,18832818,64.144836922,2.390909263,0.721505359,139,5797,7.21505359,0.17250538
