"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-05-01,3342904,2.66989315,1052682,238632,2051590,31.4900458,7.138464,0.04285774,2333,32686,0.4285774,0.0305938
2020-04-30,3255973,1.97180531,1014108,233370,2008495,31.14608137,7.16744273,0.041743244,2396,33423,0.41743244,0.0299192
2020-04-29,3193013,2.4871571,972074,227620,1993319,30.4437846,7.12869005,0.040936064,2443,34268,0.40936064,0.0291821
2020-04-28,3115525,2.4543464,928013,217135,1970377,29.7867294,6.9694514,0.03994263,2504,35922,0.3994263,0.02783782
2020-04-27,3040891,2.36615339,893322,211150,1936419,29.37698194,6.94368854,0.038985782,2565,36941,0.38985782,0.0270705
2020-04-26,2970602,2.58053444,865088,206526,1898988,29.12163932,6.95232818,0.038084641,2626,37768,0.38084641,0.02647769
2020-04-25,2895873,3.0617736,816040,202828,1877005,28.17941256,7.00403643,0.037126577,2693,38456,0.37126577,0.02600359
2020-04-24,2809842,3.7603231,792775,197133,1819934,28.21421987,7.0158037,0.036023615,2776,39567,0.36023615,0.02527346
2020-04-23,2708012,3.23759753,737841,190840,1779331,27.2465927,7.0472361,0.034718103,2880,40872,0.34718103,0.024467
2020-04-22,2623087,2.9368,709050,183051,1730986,27.03112783,6.97845706,0.033629321,2974,42611,0.33629321,0.02346808
2020-04-21,2548250,3.11015762,679175,176568,1692507,26.652605,6.92899,0.0326699,3061,44176,0.326699,0.0226369
2020-04-20,2471386,2.9527108,645094,169971,1656321,26.10251899,6.87755778,0.031684436,3156,45890,0.31684436,0.02179115
2020-04-19,2400506,3.6091547,623259,165029,1612218,25.963651,6.8747589,0.030775718,3249,47264,0.30775718,0.02115756
2020-04-18,2316886,3.46391178,591675,159495,1565716,25.53751026,6.88402451,0.02970367,3367,48904,0.2970367,0.0204481
2020-04-17,2239318,4.068457,567699,153807,1517812,25.35142396,6.86847513,0.028709205,3483,50713,0.28709205,0.01971885
2020-04-16,2151774,4.69992439,541463,143787,1466524,25.16356272,6.6822538,0.027586846,3625,54247,0.27586846,0.01843423
2020-04-15,2055182,4.04304317,510380,134163,1410639,24.83381034,6.52803499,0.026348487,3795,58138,0.26348487,0.01720038
2020-04-14,1975319,3.07193468,473622,125970,1375727,23.97698802,6.37719781,0.025324603,3949,61920,0.25324603,0.01615
2020-04-13,1916447,3.82705234,448036,119469,1348942,23.37847068,6.23387967,0.02456983,4070,65289,0.2456983,0.01531654
2020-04-12,1845807,4.2434809,421103,114076,1310628,22.81403202,6.18027779,0.023664192,4226,68375,0.23664192,0.01462513
2020-04-11,1770669,4.7207054,401496,108487,1260686,22.6748195,6.12689328,0.022700885,4405,71898,0.22700885,0.01390859
2020-04-10,1690849,6.04318243,375486,102510,1212853,22.20695047,6.06263481,0.021677551,4613,76090,0.21677551,0.0131423
2020-04-09,1594491,5.57885948,353369,95442,1145680,22.16186858,5.9857346,0.020442192,4892,81725,0.20442192,0.01223615
2020-04-08,1510237,5.963697,328060,88333,1093844,21.7224184,5.84894954,0.019362013,5165,88302,0.19362013,0.01132474
2020-04-07,1425240,6.0260252,299446,81852,1043942,21.010216,5.743033,0.0182723,5473,95294,0.182723,0.0104938
2020-04-06,1344236,5.74052966,275919,74553,993764,20.5260832,5.5461243,0.017233795,5803,104624,0.17233795,0.00955808
2020-04-05,1271259,6.2447662,259433,69360,942466,20.40756447,5.4560086,0.016298192,6136,112457,0.16298192,0.008892
2020-04-04,1196538,9.26878537,245555,64590,886393,20.522123,5.3980734,0.015340231,6519,120762,0.15340231,0.0082808
2020-04-03,1095041,8.1598889,225197,58772,811072,20.56516605,5.36710498,0.014038987,7123,132716,0.14038987,0.00753487
2020-04-02,1012428,8.661093,209663,52968,749797,20.7089294,5.231779,0.01297985,7704,147259,0.1297985,0.0067908
2020-04-01,931730,8.768182,192585,46796,692349,20.669615,5.022485,0.01194526,8372,166681,0.1194526,0.00599949
2020-03-31,856620,9.61004,177446,42097,637077,20.714669,4.914314,0.01098231,9106,185286,0.1098231,0.00539705
2020-03-30,781516,8.6542031,163966,37576,579974,20.9805046,4.8080909,0.010019436,9981,207579,0.10019436,0.0048174
2020-03-29,719269,9.010377,148477,33913,536879,20.6427637,4.7149258,0.009221397,10844,230000,0.09221397,0.00434782
2020-03-28,659817,11.3609551,138827,30642,490348,21.0402278,4.6440149,0.008459192,11821,254553,0.08459192,0.00392846
2020-03-27,592503,12.0454382,130314,27185,435004,21.9938127,4.5881624,0.007596192,13164,286923,0.07596192,0.00348526
2020-03-26,528806,13.2817487,121548,23958,383300,22.985367,4.530584,0.006779564,14750,325570,0.06779564,0.00307154
2020-03-25,466806,11.7110865,113184,21169,332453,24.246475,4.5348603,0.005984692,16709,368463,0.05984692,0.00271397
2020-03-24,417869,10.6993465,107700,18613,291556,25.7736276,4.4542668,0.005357295,18666,419062,0.05357295,0.00238628
2020-03-23,377481,12.241979,100393,16487,260601,26.5955108,4.367637,0.0048395,20663,473100,0.048395,0.00211372
2020-03-22,336310,10.721164,96677,14613,225020,28.746395,4.345098,0.0043117,23193,533771,0.043117,0.00187346
2020-03-21,303745,11.9289686,91185,12964,199596,30.020247,4.268054,0.00389417,25679,601666,0.0389417,0.00166205
2020-03-20,271373,12.18396,86931,11291,173151,32.033769,4.160694,0.003479141,28743,690816,0.03479141,0.00144756
2020-03-19,241900,12.9750885,84528,9859,147513,34.943365,4.075651,0.0031013,32245,791155,0.031013,0.00126397
2020-03-18,214118,9.032488,82879,8726,122513,38.7071615,4.075323,0.002745103,36429,893880,0.02745103,0.00111872
2020-03-17,196380,8.631076,80511,7898,107971,40.997556,4.021794,0.00251769,39719,987592,0.0251769,0.00101256
2020-03-16,180777,8.496579,77759,7119,95899,43.0137683,3.938001,0.002317654,43147,1095660,0.02317654,0.00091269
2020-03-15,166620,7.305701,75701,6433,84486,45.433321,3.860881,0.00213615,46813,1212498,0.0213615,0.00082474
2020-03-14,155276,7.543027,72291,5812,77173,46.556454,3.743012,0.001990718,50233,1342051,0.01990718,0.00074513
2020-03-13,144385,13.196971,69923,5397,69065,48.428161,3.737923,0.00185109,54022,1445247,0.0185109,0.00069192
2020-03-12,127552,1.974705,67996,4713,54843,53.308455,3.694964,0.00163528,61152,1654997,0.0163528,0.00060423
2020-03-11,125082,6.1735521,66675,4608,53799,53.305032,3.683983,0.001603615,62359,1692708,0.01603615,0.000591
2020-03-10,117809,4.93925,64361,4256,49192,54.6316495,3.6126272,0.001510372,66209,1832707,0.01510372,0.0005456
2020-03-09,112264,3.408128,62461,3968,45835,55.637604,3.534526,0.00143928,69479,1965726,0.0143928,0.0005087
2020-03-08,108564,3.680642,60644,3776,44144,55.860138,3.478133,0.00139185,71847,2065678,0.0139185,0.0004841
2020-03-07,104710,3.8655729,58309,3535,42866,55.686181,3.375991,0.00134244,74491,2206506,0.0134244,0.00045321
2020-03-06,100813,3.979166,55816,3440,41557,55.3658754,3.4122583,0.001292474,77371,2267442,0.01292474,0.000441
2020-03-05,96955,2.856931,53777,3330,39848,55.465938,3.434583,0.001243013,80450,2342342,0.01243013,0.0004269
2020-03-04,94262,2.44422,51151,3237,39874,54.264709,3.434046,0.001208487,82748,2409639,0.01208487,0.000415
2020-03-03,92013,2.807821,48209,3147,40657,52.393684,3.420169,0.001179654,84771,2478551,0.01179654,0.00040346
2020-03-02,89500,2.182947,45583,3073,40844,50.930726,3.43352,0.0011474,87151,2538236,0.011474,0.00039397
2020-03-01,87588,2.759397,42697,2989,41902,48.747545,3.412568,0.00112292,89053,2609568,0.0112292,0.00038321
2020-02-29,85236,2.25784,39763,2934,42539,46.650476,3.442208,0.00109277,91511,2658487,0.0109277,0.00037615
2020-02-28,83354,1.664857,36692,2866,43796,44.019483,3.438347,0.001068641,93577,2721563,0.01068641,0.00036744
2020-02-27,81989,1.684216,33259,2810,45920,40.565198,3.427289,0.001051141,95135,2775801,0.01051141,0.0003603
2020-02-26,80631,1.207496,30366,2766,47499,37.660453,3.430442,0.001033731,96737,2819957,0.01033731,0.00035462
2020-02-25,79669,1.072009,27897,2705,49067,35.016129,3.395298,0.001021397,97905,2883549,0.01021397,0.00034679
2020-02-24,78824,0.724536,25220,2626,50978,31.995331,3.331473,0.00101056,98955,2970297,0.0101056,0.0003367
2020-02-23,78257,0.422185,23387,2466,52404,29.884867,3.151156,0.001003295,99672,3163017,0.01003295,0.00031615
2020-02-22,77928,2.305309,22878,2456,52594,29.357869,3.151627,0.00099908,100092,3175896,0.0099908,0.0003149
2020-02-21,76172,0.825965,18882,2249,55041,24.788636,2.952528,0.000976564,102400,3468208,0.00976564,0.0002883
2020-02-20,75548,0.726638,18171,2245,55132,24.052258,2.971621,0.000968564,103246,3474388,0.00968564,0.00028782
2020-02-19,75003,0.568525,16115,2122,56766,21.485807,2.82922,0.000961577,103996,3675778,0.00961577,0.00027205
2020-02-18,74579,2.459163,14347,2007,58225,19.237319,2.691106,0.000956141,104587,3886398,0.00956141,0.00025731
2020-02-17,72789,2.730968,12578,1868,58343,17.280084,2.566322,0.000933192,107159,4175589,0.00933192,0.00023949
2020-02-16,70854,3.090354,10860,1770,58224,15.327293,2.498095,0.000908385,110086,4406780,0.00908385,0.0002269
2020-02-15,68730,3.117686,9390,1666,57674,13.662156,2.423978,0.00088115,113488,4681873,0.0088115,0.00021359
2020-02-14,66652,10.758084,8053,1523,57076,12.082158,2.285003,0.000854513,117026,5121471,0.00854513,0.00019526
2020-02-13,60178,33.63386,6290,1371,52517,10.452325,2.278241,0.000771513,129615,5689278,0.00771513,0.00017577
2020-02-12,45032,0.848767,5145,1118,38769,11.425209,2.482679,0.0005773,173210,6976744,0.005773,0.0001433
2020-02-11,44653,4.784813,4680,1113,38860,10.480819,2.492554,0.000572474,174680,7008086,0.00572474,0.00014269
2020-02-10,42614,6.340928,3943,1013,37658,9.252828,2.377153,0.00054633,183038,7699901,0.0054633,0.00012987
2020-02-09,40073,8.170923,3241,906,35926,8.08774,2.260874,0.000513756,194645,8609272,0.00513756,0.00011615
2020-02-08,37046,7.952327,2616,806,33624,7.061491,2.175673,0.000474949,210549,9677419,0.00474949,0.0001033
2020-02-07,34317,11.404363,2011,719,31587,5.860069,2.095171,0.000439962,227293,10848401,0.00439962,0.00009218
2020-02-06,30804,11.519803,1487,634,28683,4.827295,2.058174,0.00039492,253214,12302839,0.0039492,0.00008128
2020-02-05,27622,15.674861,1124,564,25934,4.06922,2.041851,0.000354128,282384,13829787,0.00354128,0.0000723
2020-02-04,23879,20.188242,852,492,22535,3.567989,2.060388,0.000306141,326647,15853659,0.00306141,0.0000631
2020-02-03,19868,18.424033,623,426,18819,3.135696,2.144151,0.000254718,392591,18309859,0.00254718,0.00005462
2020-02-02,16777,39.482873,472,362,15943,2.813375,2.157716,0.00021509,464922,21546961,0.0021509,0.00004641
2020-02-01,12028,21.213343,284,259,11485,2.361157,2.153309,0.000154205,648487,30115830,0.00154205,0.00003321
2020-01-31,9923,20.497875,222,213,9488,2.237227,2.146528,0.000127218,786053,36619718,0.00127218,0.00002731
2020-01-30,8235,33.576642,143,171,7921,1.736491,2.076503,0.00010558,947177,45614035,0.0010558,0.00002192
2020-01-29,6165,10.523485,126,133,5906,2.043796,2.15734,0.00007904,1265207,58646617,0.0007904,0.00001705
2020-01-28,5578,90.57055,107,131,5340,1.91825,2.348512,0.000071513,1398351,59541985,0.00071513,0.00001679
2020-01-27,2927,38.196412,61,82,2784,2.084045,2.801503,0.000037526,2664845,95121951,0.00037526,0.00001051
2020-01-26,2118,47.2879,52,56,2010,2.455146,2.644004,0.000027154,3682720,139285714,0.00027154,0.0000072
2020-01-25,1438,52.978723,39,42,1357,2.7121,2.920723,0.000018436,5424200,185714286,0.00018436,0.00000538
2020-01-24,940,43.950995,36,26,878,3.829787,2.765957,0.00001205,8297872,300000000,0.0001205,0.0000033
2020-01-23,653,17.657658,30,18,605,4.594181,2.756508,0.000008372,11944870,433333333,0.00008372,0.00000231
2020-01-22,555,,28,17,510,5.045045,3.063063,0.00000712,14054054,458823529,0.0000712,0.00000218

