"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-04-20,510,0,93,12,405,18.235294,2.352941,0.028169589767921246,3550,150872,0.28169589767921244,0.006628138768922646
2020-04-19,510,0,93,12,405,18.235294,2.352941,0.028169589767921246,3550,150872,0.28169589767921244,0.006628138768922646
2020-04-18,510,6.25,93,12,405,18.235294,2.352941,0.028169589767921246,3550,150872,0.28169589767921244,0.006628138768922646
2020-04-17,480,6.904232,84,12,384,17.5,2.5,0.026512555075690582,3772,150872,0.26512555075690586,0.006628138768922646
2020-04-16,449,16.020672,79,11,359,17.594655,2.449889,0.0248002858937189,4032,164588,0.248002858937189,0.006075793871512425
2020-04-15,387,0,66,8,313,17.054264,2.067183,0.021375747529775533,4678,226308,0.21375747529775532,0.004418759179281764
2020-04-14,387,36.749117,66,8,313,17.054264,2.067183,0.021375747529775533,4678,226308,0.21375747529775532,0.004418759179281764
2020-04-13,283,0,58,7,218,20.4947,2.473498,0.015631360596709238,6397,258638,0.1563136059670924,0.0038664142818715433
2020-04-12,283,0,58,7,218,20.4947,2.473498,0.015631360596709238,6397,258638,0.1563136059670924,0.0038664142818715433
2020-04-11,283,13.2,58,7,218,20.4947,2.473498,0.015631360596709238,6397,258638,0.1563136059670924,0.0038664142818715433
2020-04-10,250,35.869565,52,7,191,20.8,2.8,0.013808622435255512,7242,258638,0.13808622435255513,0.0038664142818715433
2020-04-09,184,0,30,5,149,16.304348,2.717391,0.010163146112348058,9839,362093,0.10163146112348057,0.0027617244870511023
2020-04-08,184,8.235294,30,5,149,16.304348,2.717391,0.010163146112348058,9839,362093,0.10163146112348057,0.0027617244870511023
2020-04-07,170,17.241379,24,4,142,14.117647,2.352941,0.009389863255973747,10650,452616,0.09389863255973749,0.002209379589640882
2020-04-06,145,0,23,1,121,15.862069,0.689655,0.008009001012448197,12486,1810463,0.08009001012448197,0.0005523448974102205
2020-04-05,145,7.407407,23,1,121,15.862069,0.689655,0.008009001012448197,12486,1810463,0.08009001012448197,0.0005523448974102205
2020-04-04,135,7.142857,16,1,118,11.851852,0.740741,0.007456656115037976,13411,1810463,0.07456656115037977,0.0005523448974102205
2020-04-03,126,0.8,10,1,115,7.936508,0.793651,0.006959545707368778,14369,1810463,0.06959545707368778,0.0005523448974102205
2020-04-02,125,0,10,1,114,8,0.8,0.006904311217627756,14484,1810463,0.06904311217627757,0.0005523448974102205
2020-04-01,125,11.607143,10,1,114,8,0.8,0.006904311217627756,14484,1810463,0.06904311217627757,0.0005523448974102205
2020-03-31,112,19.148936,6,1,105,5.357143,0.892857,0.006186262850994469,16165,1810463,0.061862628509944693,0.0005523448974102205
2020-03-30,94,0,1,1,92,1.06383,1.06383,0.005192042035656073,19260,1810463,0.05192042035656073,0.0005523448974102205
2020-03-29,94,3.296703,1,1,92,1.06383,1.06383,0.005192042035656073,19260,1810463,0.05192042035656073,0.0005523448974102205
2020-03-28,91,5.813953,1,1,89,1.098901,1.098901,0.005026338566433006,19895,1810463,0.050263385664330064,0.0005523448974102205
2020-03-27,86,21.126761,1,1,84,1.162791,1.162791,0.004750166117727896,21052,1810463,0.04750166117727896,0.0005523448974102205
2020-03-26,71,,0,1,70,0,1.408451,0.003921648771612565,25499,1810463,0.03921648771612565,0.0005523448974102205

