"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2020-06-23,2434,0,2188,31,215,89.89318,1.273624,0.9143501126972201,109,8587,9.143501126972202,0.11645379413974456
2020-06-22,2434,1.24792,2188,31,215,89.89318,1.273624,0.9143501126972201,109,8587,9.143501126972202,0.11645379413974456
2020-06-21,2404,0,2066,31,307,85.9401,1.289517,0.9030803906836965,111,8587,9.030803906836965,0.11645379413974456
2020-06-20,2404,0.417711,2066,31,307,85.9401,1.289517,0.9030803906836965,111,8587,9.030803906836965,0.11645379413974456
2020-06-19,2394,0.461603,2066,29,299,86.299081,1.211362,0.8993238166791886,111,9179,8.993238166791887,0.10894064613072878
2020-06-18,2383,1.620469,2066,29,288,86.69744,1.216953,0.8951915852742299,112,9179,8.9519158527423,0.10894064613072878
2020-06-17,2345,0.514359,2066,29,250,88.102345,1.236674,0.8809166040570999,114,9179,8.809166040571,0.10894064613072878
2020-06-16,2333,0.995671,2058,29,246,88.212602,1.243035,0.8764087152516905,114,9179,8.764087152516906,0.10894064613072878
2020-06-15,2310,0.522193,2058,29,223,89.090909,1.255411,0.8677685950413223,115,9179,8.677685950413224,0.10894064613072878
2020-06-14,2298,0.701139,1790,29,479,77.893821,1.261967,0.8632607062359129,116,9179,8.63260706235913,0.10894064613072878
2020-06-13,2282,0.617284,1790,28,464,78.439965,1.226994,0.8572501878287002,117,9507,8.572501878287003,0.10518407212622088
2020-06-12,2268,1.25,1790,28,450,78.924162,1.234568,0.8519909842223892,117,9507,8.519909842223893,0.10518407212622088
2020-06-11,2240,0.628931,1654,28,558,73.839286,1.25,0.8414725770097671,119,9507,8.414725770097672,0.10518407212622088
2020-06-10,2226,2.344828,1654,28,544,74.303684,1.257862,0.836213373403456,120,9507,8.362133734034561,0.10518407212622088
2020-06-09,2175,1.11576,1654,28,493,76.045977,1.287356,0.8170548459804658,122,9507,8.170548459804658,0.10518407212622088
2020-06-08,2151,3.463203,1654,25,472,76.894468,1.16225,0.8080390683696469,124,10648,8.08039068369647,0.09391435011269722
2020-06-07,2079,0,1523,25,531,73.256373,1.202501,0.78099173553719,128,10648,7.809917355371901,0.09391435011269722
2020-06-06,2079,0,1523,25,531,73.256373,1.202501,0.78099173553719,128,10648,7.809917355371901,0.09391435011269722
2020-06-05,2079,1.020408,1523,25,531,73.256373,1.202501,0.78099173553719,128,10648,7.809917355371901,0.09391435011269722
2020-06-04,2058,3.261415,1523,25,510,74.003887,1.214772,0.7731029301277235,129,10648,7.7310293012772355,0.09391435011269722
2020-06-03,1993,0.352467,1523,24,446,76.417461,1.204215,0.7486851990984222,134,11092,7.486851990984222,0.09015777610818934
2020-06-02,1986,2.688728,1473,24,489,74.169184,1.208459,0.7460555972952667,134,11092,7.460555972952667,0.09015777610818934
2020-06-01,1934,13.831666,1473,24,437,76.163392,1.240951,0.7265214124718257,138,11092,7.265214124718257,0.09015777610818934
2020-05-31,1699,0,1385,21,293,81.51854,1.236021,0.6382419233658904,157,12676,6.382419233658903,0.07888805409466566
2020-05-30,1699,0,1385,21,293,81.51854,1.236021,0.6382419233658904,157,12676,6.382419233658903,0.07888805409466566
2020-05-29,1699,1.736527,1385,21,293,81.51854,1.236021,0.6382419233658904,157,12676,6.382419233658903,0.07888805409466566
2020-05-28,1670,1.519757,1315,21,334,78.742515,1.257485,0.6273478587528174,159,12676,6.2734785875281744,0.07888805409466566
2020-05-27,1645,0.673195,1314,20,311,79.878419,1.215805,0.6179564237415477,162,13310,6.179564237415478,0.07513148009015778
2020-05-26,1634,1.55376,894,20,720,54.712362,1.22399,0.613824192336589,163,13310,6.13824192336589,0.07513148009015778
2020-05-25,1609,1.386263,894,20,695,55.562461,1.243008,0.6044327573253193,165,13310,6.044327573253193,0.07513148009015778
2020-05-24,1587,4.33925,894,20,673,56.332703,1.260239,0.596168294515402,168,13310,5.96168294515402,0.07513148009015778
2020-05-23,1521,0,894,19,608,58.77712,1.249178,0.5713749060856499,175,14011,5.713749060856499,0.07137490608564989
2020-05-22,1521,3.118644,894,19,608,58.77712,1.249178,0.5713749060856499,175,14011,5.713749060856499,0.07137490608564989
2020-05-21,1475,0,894,19,562,60.610169,1.288136,0.5540946656649136,180,14011,5.540946656649136,0.07137490608564989
2020-05-20,1475,7.664234,894,19,562,60.610169,1.288136,0.5540946656649136,180,14011,5.540946656649136,0.07137490608564989
2020-05-19,1370,0,627,18,725,45.766423,1.313869,0.5146506386175808,194,14789,5.146506386175808,0.067618332081142
2020-05-18,1370,2.086438,627,18,725,45.766423,1.313869,0.5146506386175808,194,14789,5.146506386175808,0.067618332081142
2020-05-17,1342,2.286585,627,18,697,46.721311,1.341282,0.5041322314049587,198,14789,5.041322314049587,0.067618332081142
2020-05-16,1312,8.429752,627,18,667,47.789634,1.371951,0.492862509391435,203,14789,4.92862509391435,0.067618332081142
2020-05-15,1210,0,627,16,567,51.818182,1.322314,0.45454545454545453,220,16638,4.545454545454546,0.06010518407212622
2020-05-14,1210,5.861767,627,16,567,51.818182,1.322314,0.45454545454545453,220,16638,4.545454545454546,0.06010518407212622
2020-05-13,1143,4.383562,627,14,502,54.855643,1.224847,0.4293764087152517,233,19014,4.293764087152517,0.05259203606311044
2020-05-12,1095,7.038123,492,12,591,44.931507,1.09589,0.4113448534936138,243,22183,4.113448534936138,0.04507888805409467
2020-05-11,1023,0,492,11,520,48.093842,1.075269,0.384297520661157,260,24200,3.8429752066115705,0.04132231404958678
2020-05-10,1023,3.54251,492,11,520,48.093842,1.075269,0.384297520661157,260,24200,3.8429752066115705,0.04132231404958678
2020-05-09,988,15.690867,492,11,485,49.797571,1.11336,0.3711495116453794,269,24200,3.7114951164537944,0.04132231404958678
2020-05-08,854,0,352,10,492,41.217799,1.17096,0.3208114199849737,312,26620,3.2081141998497373,0.03756574004507889
2020-05-07,854,15.56157,352,10,492,41.217799,1.17096,0.3208114199849737,312,26620,3.2081141998497373,0.03756574004507889
2020-05-06,739,0,352,9,378,47.631935,1.217862,0.277610818933133,360,29578,2.77610818933133,0.033809166040571
2020-05-05,739,7.725948,352,9,378,47.631935,1.217862,0.277610818933133,360,29578,2.77610818933133,0.033809166040571
2020-05-04,686,5.538462,352,6,328,51.311953,0.874636,0.2577009767092412,388,44367,2.5770097670924117,0.022539444027047335
2020-05-03,650,20.593692,235,6,409,36.153846,0.923077,0.24417731029301276,410,44367,2.441773102930128,0.022539444027047335
2020-05-02,539,0,235,4,300,43.599258,0.742115,0.2024793388429752,494,66550,2.024793388429752,0.015026296018031555
2020-05-01,539,0,235,4,300,43.599258,0.742115,0.2024793388429752,494,66550,2.024793388429752,0.015026296018031555
2020-04-30,539,17.173913,235,4,300,43.599258,0.742115,0.2024793388429752,494,66550,2.024793388429752,0.015026296018031555
2020-04-29,460,0,235,4,221,51.086957,0.869565,0.1728024042073629,579,66550,1.728024042073629,0.015026296018031555
2020-04-28,460,14.713217,235,4,221,51.086957,0.869565,0.1728024042073629,579,66550,1.728024042073629,0.015026296018031555
2020-04-27,401,0,144,4,253,35.910224,0.997506,0.15063861758076635,664,66550,1.5063861758076635,0.015026296018031555
2020-04-26,401,5.526316,144,4,253,35.910224,0.997506,0.15063861758076635,664,66550,1.5063861758076635,0.015026296018031555
2020-04-25,380,7.344633,144,4,232,37.894737,1.052632,0.14274981217129978,701,66550,1.4274981217129978,0.015026296018031555
2020-04-24,354,8.588957,144,4,206,40.677966,1.129944,0.13298271975957926,752,66550,1.3298271975957927,0.015026296018031555
2020-04-23,326,0,125,4,197,38.343558,1.226994,0.12246431254695718,817,66550,1.2246431254695718,0.015026296018031555
2020-04-22,326,4.823151,125,4,197,38.343558,1.226994,0.12246431254695718,817,66550,1.2246431254695718,0.015026296018031555
2020-04-21,311,14.760148,117,4,190,37.620579,1.286174,0.11682945154019535,856,66550,1.1682945154019535,0.015026296018031555
2020-04-20,271,0,117,4,150,43.173432,1.476015,0.10180315552216379,982,66550,1.018031555221638,0.015026296018031555
2020-04-19,271,6.692913,117,4,150,43.173432,1.476015,0.10180315552216379,982,66550,1.018031555221638,0.015026296018031555
2020-04-18,254,3.673469,117,4,133,46.062992,1.574803,0.09541697971450037,1048,66550,0.9541697971450038,0.015026296018031555
2020-04-17,245,5.150215,117,4,124,47.755102,1.632653,0.09203606311044328,1087,66550,0.9203606311044328,0.015026296018031555
2020-04-16,233,7.373272,69,3,161,29.613734,1.287554,0.0875281743050338,1142,88733,0.8752817430503381,0.011269722013523668
