"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,1686,1.873112,95,12,1579,5.634638,0.711744,0.002879181943464889,34732,4879858
2020-04-05,1655,4.416404,95,11,1549,5.740181,0.664653,0.0028262432481817265,35383,5323482
2020-04-04,1585,5.315615,95,9,1481,5.993691,0.567823,0.0027067042588326505,36945,6506478
2020-04-03,1505,2.941176,95,9,1401,6.312292,0.598007,0.002570088271005135,38909,6506478
2020-04-02,1462,5.942029,50,5,1407,3.419973,0.341997,0.0024966571775478456,40054,11711660
2020-04-01,1380,1.995565,50,5,1325,3.623188,0.362319,0.0023566257900246423,42434,11711660
2020-03-31,1353,2.036199,31,5,1317,2.291205,0.369549,0.0023105178941328556,43280,11711660
2020-03-30,1326,3.59375,31,3,1292,2.337858,0.226244,0.002264409998241069,44162,19519433
2020-03-29,1280,7.834878,31,2,1247,2.421875,0.15625,0.0021858558052402477,45749,29279150
2020-03-28,1187,1.452991,31,1,1155,2.611626,0.084246,0.002027039719390761,49333,58558300
2020-03-27,1170,26.213592,31,1,1138,2.649573,0.08547,0.001998008821977414,50050,58558300
2020-03-26,927,30.747532,12,0,915,1.294498,0,0.0015830377589513356,63170,
2020-03-25,709,27.978339,12,0,697,1.692525,0,0.001210759192121356,82593,
2020-03-24,554,37.810945,4,0,550,0.722022,0,0.0009460657157055447,105701,
2020-03-23,402,46.715328,4,0,398,0.995025,0,0.0006864953388332653,145667,
2020-03-22,274,14.166667,2,0,272,0.729927,0,0.0004679097583092405,213716,
2020-03-21,240,18.811881,0,0,240,0,0,0.0004098479634825465,243993,
2020-03-20,202,34.666667,0,0,202,0,0,0.0003449553692644766,289893,
2020-03-19,150,29.310345,0,0,150,0,0,0.0002561549771765915,390389,
2020-03-18,116,87.096774,0,0,116,0,0,0.00019809318234989746,504813,
2020-03-17,62,0,0,0,62,0,0,0.0001058773905663245,944489,
2020-03-16,62,21.568627,0,0,62,0,0,0.0001058773905663245,944489,
2020-03-15,51,34.210526,0,0,51,0,0,8.709269224004113e-05,1148202,
2020-03-14,38,58.333333,0,0,38,0,0,6.489259421806985e-05,1541008,
2020-03-13,24,41.176471,0,0,24,0,0,4.0984796348254645e-05,2439929,
2020-03-12,17,30.769231,0,0,17,0,0,2.9030897413347042e-05,3444606,
2020-03-11,13,85.714286,0,0,13,0,0,2.2200098021971268e-05,4504485,
2020-03-10,7,133.333333,0,0,7,0,0,1.1953898934907605e-05,8365471,
2020-03-09,3,0,0,0,3,0,0,5.123099543531831e-06,19519433,
2020-03-08,3,200,0,0,3,0,0,5.123099543531831e-06,19519433,
2020-03-07,1,0,0,0,1,0,0,1.7076998478439436e-06,58558300,
2020-03-06,1,0,0,0,1,0,0,1.7076998478439436e-06,58558300,
2020-03-05,1,,0,0,1,0,0,1.7076998478439436e-06,58558300,

